ELVIRA, BERMUDEZ, 45 - LUZ BRIGIDA, DELGADO, 81 - SANTA ANA
RICARDO, CASTRO, 44 - CLAUDINA, QUESADA, 63 - SANTA ANA
MARIANO, MONGE, 11 - LUCIA, GALARZA, 12 - CURRIDABAT
DAISY, CARTIN, 29 - CARMEN IDA, TREJOS, 45 - CURRIDABAT
ISABEL, CASTRO, 77 - MARGARITA, MORA, 55 - CURRIDABAT
CARMEN LIDIA, ALVARADO, 14 - AUREA, ALVARADO, 11 - CENTRAL
MARIO, GUERRERO, 13 - FLORA, MUÑOZ, 14 - CENTRAL
MARIA TERESA, MUÑOZ, 15 - MARIA ISABEL, AVILA, 16 - CENTRAL
IDILIA, UGALDE, 17 - CARMEN, CASTRO, 16 - CENTRAL
MARIO, ESQUIVEL, 77 - MISAEL, UREÑA, 85 - CENTRAL
MARCELO, FERNANDEZ, 21 - MARIO, MORA, 59 - CENTRAL
DAISY, ROJAS, 20 - MARIA ESTER, TAPIA, 87 - CENTRAL
OLGA, VARGAS, 27 - CECILIA, OBREGON, 36 - CENTRAL
MARIA ISABEL, JIMENEZ, 22 - SOLEDAD, MARIN, 21 - CENTRAL
OTILIA, CASTILLO, 30 - RAFAELA DE LOS ANGELES, CHINCHILLA, 59 - CENTRAL
ISABEL, SOLIS, 69 - MARGARITA, GOMEZ, 55 - CENTRAL
AIDA, MERINO, 48 - BLANCA ROSA, MONTERO, 56 - CENTRAL
MARIA DEL ROSARIO, MONTES DE OCA, 64 - ISABEL, NARANJO, 88 - CENTRAL
MARIA TERESA, REDONDO, 22 - EIDA, LEON, 57 - CENTRAL
MARIA CRISTINA, ALVARADO, 45 - ENRIQUETA, LASCAREZ, 61 - CENTRAL
IDALI, MORA, 57 - IRENE MARGARITA, VASQUEZ, 74 - CENTRAL
YOLANDA, CASTRO, 26 - MARIA, SALMERON, 84 - CENTRAL
JOSE ANDRES, DEL VALLE, 49 - COLOMBA, SEGURA, 79 - CENTRAL
RODOLFO, ACUÑA, 63 - ELOISA, SEGURA, 85 - CENTRAL
GUIDO, ARAYA, 61 - CLARA, CORDERO, 44 - CENTRAL
JOSE JOAQUIN, QUIROS, 80 - HAYDEE, MORA, 82 - CENTRAL
ANIBAL, FALLAS, 74 - NELLY, VALVERDE, 57 - CENTRAL
ANGEL, ALPIZAR, 48 - SOCORRO, RIOS, 49 - CENTRAL
MARIO, MEOÑO, 21 - MARIA LUISA, SANCHO, 63 - CENTRAL
GUILLERMO ANTONIO, ROJAS, 82 - RITA, HERNANDEZ, 18 - CENTRAL
JOSE ANTONIO, RAMIREZ, 33 - JACINTA CLARA, CORRALES, 28 - CENTRAL
BRUNILDA, ZUÑIGA, 71 - CARLOS MARIA, BEJARANO, 76 - CENTRAL
MARIA ELENA, AMADOR, 64 - CARLOS ALBERTO, VALVERDE, 76 - CENTRAL
DAISY, RAMIREZ, 21 - CARLOS LUIS, OVIEDO, 43 - CENTRAL
NOEMY, CHAVARRIA, 38 - DANIEL, NUÑEZ, 67 - CENTRAL
MARIA LUISA, SOLANO, 45 - CARLOS LUIS, CORRALES, 20 - CENTRAL
NELLY, CASTRO, 51 - JULIAN, MENDEZ, 63 - CENTRAL
ANGELA, CORDERO, 23 - ROSARIO, GARITA, 82 - CENTRAL
AURORA, MORA, 50 - IVAN, ESQUIVEL, 27 - CENTRAL
ISABEL, BARRIENTOS, 46 - FLORA, GAMBOA, 75 - CENTRAL
UJENI AYONI, BEECHER, 28 - OLGA, ALAN, 78 - CENTRAL
EMILIA, MONTERO, 83 - MIREYA, CALVO, 70 - CENTRAL
MARIA CARMEN, CASTRO, 68 - SNEIDA MARIA, BRENES, 30 - CENTRAL
MARIA, LIZANO, 52 - NOEMI, CAMACHO, 85 - CENTRAL
TERESA, CAVALLINI, 31 - OLGA, RODRIGUEZ, 80 - CENTRAL
AIDEE, DURAN, 85 - ROSALIA, MARIN, 68 - CENTRAL
ADELISA, GAMEZ, 72 - ALBA, SANCHEZ, 27 - CENTRAL
DIGNA, SANDI, 44 - JULIA, GUERRERO, 30 - CENTRAL
ELIETH, ARAYA, 56 - DAISY, ROJAS, 44 - MONTES DE OCA
