JOSE, HIDALGO, PEREZ ZELEDON,  79, M, N
HERNAN, OCAMPO, SAN CARLOS,  88, M, F
ANTONIO, CAMBRONERO, SANTA ANA,  89, M, M
MARIA ROSA, QUIROS, CURRIDABAT,  72, F, M
CARMEN, BARQUERO, ESTADOS UNIDOS,  14, F, F
CARLOS RAMON, GUZMAN, GARABITO,  56, M, N
ELSA, DELGADO, DESAMPARADOS,  75, F, N
MARIA, SALMERON, CENTRAL,  84, F, A
ALFREDO, MIRANDA, MONTES DE OCA,  76, M, A
ALVARO, FONSECA, ASERRI,  30, M, F
RAMON VICTOR, SALAS, POCOCI,  82, M, F
VIRGINIA, OCONITRILLO, GOICOECHEA,  29, F, N
ISOLINA, BONILLA, LEON CORTES CASTRO,  36, F, M
HILDA, CASCANTE, MORAVIA,  24, F, F
MARIA, MORA, DESAMPARADOS,  58, F, F
COLOMBA, SEGURA, CENTRAL,  79, F, M
ANIBAL, MORA, GOLFITO,  24, M, M
ISABEL, BARRIENTOS, CENTRAL,  46, F, A
ELOY, MORA, PURISCAL,  77, M, F
VICTOR MANUEL, SEGURA, SAN CARLOS,  88, M, F
LAURELIA, CASTRO, DESAMPARADOS,  73, F, F
JUAN, SERRANO, OSA,  58, M, N
ELIETH, ARAYA, MONTES DE OCA,  56, F, F
LUCIA, FERRETO, POCOCI,  56, F, A
ISABEL, CASTRO, CURRIDABAT,  77, F, A
EIDA, FONSECA, MONTES DE OCA,  20, F, A
DAISY, ROJAS, MONTES DE OCA,  44, F, F
AMPARO, JARQUIN, GOICOECHEA,  79, F, M
EIDA, ESPELETA, MONTES DE OCA,  82, F, M
RAMON, MASIS, CORREDORES,  12, M, F
AUREA, ALVARADO, CENTRAL,  11, F, A
SOCORRO, ARIAS, ASERRI,  63, F, A
GILBERTO, SANDI, ESCAZU,  77, M, F
BOLIVAR, GONZALEZ, TURRIALBA,  26, M, F
BLANCA ROSA, RETANA, DESAMPARADOS,  59, F, M
CARMEN, UMAÑA, TARRAZU,  16, F, A
AMADA, CHINCHILLA, GOICOECHEA,  39, F, N
INES, SANCHEZ, MONTES DE OCA,  11, F, F
CLAUDIA, ACUÑA, SANTA ANA,  48, F, N
ELOISA, SEGURA, CENTRAL,  85, F, M
LIZANIAS, CASTRO, ASERRI,  53, M, F
MARIA ROSA, RAMIREZ, ESCAZU,  75, F, F
AURELIA, PIEDRA, COTO BRUS,  53, F, M
DAISY, ROJAS, CENTRAL,  20, F, F
ROSALINA, ROMERO, TARRAZU,  26, F, A
ROSARIO, CORRALES, ESCAZU,  34, F, F
BELARMINA, ZELEDON, DESAMPARADOS,  69, F, M
CLARA, CORDERO, CENTRAL,  44, F, M
ELISA EMMA, QUESADA, GARABITO,  55, F, N
ALVARO, ZUMBADO, VAZQUEZ DE CORONADO,  32, M, A
MARIO, MORA, CENTRAL,  59, M, A
NELLY, HIDALGO, ESCAZU,  65, F, M
APOLINAR CRUZ, DIAZ, ASERRI,  60, M, F
MARIA CRISTINA, MENDEZ, GOICOECHEA,  83, F, F
MAURILIA AMPARO, PEREZ, LA UNION,  75, F, F
JOSE ANDRES, DEL VALLE, CENTRAL,  49, M, F
SARA, RODRIGUEZ, NICOYA,  70, F, F
BLANCA ROSA, VARGAS, ESCAZU,  32, F, N
CARMEN, HERNANDEZ, CURRIDABAT,  50, F, M
SARA, ORDEÑANA, DESAMPARADOS,  63, F, M
NOE, PICADO, TARRAZU,  15, M, N
JOSEFA, NAVARRO, PEREZ ZELEDON,  11, F, A
MARIA, MENDEZ, MONTES DE OCA,  90, F, N
MARIA LUISA, RETANA, ALAJUELITA,  65, F, A
AGUSTIN, REYES, ACOSTA,  22, M, A
ISAC, FERNANDEZ, PEREZ ZELEDON,  65, M, N
CARMEN, ORTIZ, MORAVIA,  18, F, N
CARMEN, RODRIGUEZ, MORA,  30, F, N
FRANCISCA, VEGA, MONTES DE OCA,  34, F, N
ZORAIDA, ARIAS, ESCAZU,  27, F, N
CARLOS MARIA, BEJARANO, CENTRAL,  76, M, A
FLORA, GAMBOA, CENTRAL,  75, F, A
FLORA, COTO, LA UNION,  24, F, N
SILVIO, PEREZ, MORA,  59, M, N
